,match_type,date,home,away,score,points
0,Champions League 2015/2016,16/09/2015,A,Dinamo Zagreb,1:2 (0:1),0
1,Champions League 2015/2016,29/09/2015,H,Olympiakos Piräus,2:3 (1:2),0
2,Champions League 2015/2016,20/10/2015,H,Bayern München,2:0 (0:0),3
3,Champions League 2015/2016,04/11/2015,A,Bayern München,1:5 (0:3),0
4,Champions League 2015/2016,24/11/2015,H,Dinamo Zagreb,3:0 (2:0),3
5,Champions League 2015/2016,09/12/2015,A,Olympiakos Piräus,3:0 (1:0),3
6,Champions League 2015/2016,23/02/2016,H,FC Barcelona,0:2 (0:0),0
7,Champions League 2015/2016,16/03/2016,A,FC Barcelona,1:3 (0:1),0
8,Premier League 2015/2016,09/08/2015,H,West Ham United,0:2 (0:1),0
9,Premier League 2015/2016,16/08/2015,A,Crystal Palace,2:1 (1:1),3
10,Premier League 2015/2016,24/08/2015,H,Liverpool FC,0:0 (0:0),1
11,Premier League 2015/2016,29/08/2015,A,Newcastle United,1:0 (0:0),3
12,Premier League 2015/2016,12/09/2015,H,Stoke City,2:0 (1:0),3
13,Premier League 2015/2016,19/09/2015,A,Chelsea FC,0:2 (0:0),0
14,Premier League 2015/2016,26/09/2015,A,Leicester City,5:2 (2:1),3
15,Premier League 2015/2016,04/10/2015,H,Manchester United,3:0 (3:0),3
16,Premier League 2015/2016,17/10/2015,A,Watford FC,3:0 (0:0),3
17,Premier League 2015/2016,24/10/2015,H,Everton FC,2:1 (2:1),3
18,Premier League 2015/2016,31/10/2015,A,Swansea City,3:0 (0:0),3
19,Premier League 2015/2016,08/11/2015,H,Tottenham Hotspur,1:1 (0:1),1
20,Premier League 2015/2016,21/11/2015,A,West Bromwich Albion,1:2 (1:2),0
21,Premier League 2015/2016,29/11/2015,A,Norwich City,1:1 (1:1),1
22,Premier League 2015/2016,05/12/2015,H,Sunderland AFC,3:1 (1:1),3
23,Premier League 2015/2016,13/12/2015,A,Aston Villa,2:0 (2:0),3
24,Premier League 2015/2016,21/12/2015,H,Manchester City,2:1 (2:0),3
25,Premier League 2015/2016,26/12/2015,A,Southampton FC,0:4 (0:1),0
26,Premier League 2015/2016,28/12/2015,H,AFC Bournemouth,2:0 (1:0),3
27,Premier League 2015/2016,02/01/2016,H,Newcastle United,1:0 (0:0),3
28,Premier League 2015/2016,13/01/2016,A,Liverpool FC,3:3 (2:2),1
29,Premier League 2015/2016,17/01/2016,A,Stoke City,0:0 (0:0),1
30,Premier League 2015/2016,24/01/2016,H,Chelsea FC,0:1 (0:1),0
31,Premier League 2015/2016,02/02/2016,H,Southampton FC,0:0 (0:0),1
32,Premier League 2015/2016,07/02/2016,A,AFC Bournemouth,2:0 (2:0),3
33,Premier League 2015/2016,14/02/2016,H,Leicester City,2:1 (0:1),3
34,Premier League 2015/2016,28/02/2016,A,Manchester United,2:3 (1:2),0
35,Premier League 2015/2016,02/03/2016,H,Swansea City,1:2 (1:1),0
36,Premier League 2015/2016,05/03/2016,A,Tottenham Hotspur,2:2 (1:0),1
37,Premier League 2015/2016,19/03/2016,A,Everton FC,2:0 (2:0),3
38,Premier League 2015/2016,02/04/2016,H,Watford FC,4:0 (2:0),3
39,Premier League 2015/2016,09/04/2016,A,West Ham United,3:3 (2:2),1
40,Premier League 2015/2016,17/04/2016,H,Crystal Palace,1:1 (1:0),1
41,Premier League 2015/2016,21/04/2016,H,West Bromwich Albion,2:0 (2:0),3
42,Premier League 2015/2016,24/04/2016,A,Sunderland AFC,0:0 (0:0),1
43,Premier League 2015/2016,30/04/2016,H,Norwich City,1:0 (0:0),3
44,Premier League 2015/2016,08/05/2016,A,Manchester City,2:2 (1:1),1
45,Premier League 2015/2016,15/05/2016,H,Aston Villa,4:0 (1:0),3
46,FA Cup 2015/2016,09/01/2016,H,Sunderland AFC,3:1 (1:1),3
47,FA Cup 2015/2016,30/01/2016,H,Burnley FC,2:1 (1:1),3
48,FA Cup 2015/2016,20/02/2016,H,Hull City,0:0 (0:0),1
49,FA Cup 2015/2016,08/03/2016,A,Hull City,4:0 (1:0),3
50,FA Cup 2015/2016,13/03/2016,H,Watford FC,1:2 (0:0),0
51,League Cup 2015/2016,23/09/2015,A,Tottenham Hotspur,2:1 (1:0),3
52,League Cup 2015/2016,27/10/2015,A,Sheffield Wednesday,0:3 (0:2),0
53,FA Community Shield 2015,02/08/2015,N,Chelsea FC,1:0 (1:0),3
