,match_type,date,home,away,score,points
0,Champions League 2010/2011,15/09/2010,A,MŠK Žilina,4:1 (3:0),3
1,Champions League 2010/2011,28/09/2010,H,Olympique Marseille,2:0 (2:0),3
2,Champions League 2010/2011,19/10/2010,A,Spartak Moskva,2:0 (2:0),3
3,Champions League 2010/2011,03/11/2010,H,Spartak Moskva,4:1 (0:0),3
4,Champions League 2010/2011,23/11/2010,H,MŠK Žilina,2:1 (0:1),3
5,Champions League 2010/2011,08/12/2010,A,Olympique Marseille,0:1 (0:0),0
6,Champions League 2010/2011,22/02/2011,A,FC København,2:0 (1:0),3
7,Champions League 2010/2011,16/03/2011,H,FC København,0:0 (0:0),1
8,Champions League 2010/2011,06/04/2011,H,Manchester United,0:1 (0:1),0
9,Champions League 2010/2011,12/04/2011,A,Manchester United,1:2 (0:1),0
10,Premier League 2010/2011,14/08/2010,H,West Bromwich Albion,6:0 (2:0),3
11,Premier League 2010/2011,21/08/2010,A,Wigan Athletic,6:0 (1:0),3
12,Premier League 2010/2011,28/08/2010,H,Stoke City,2:0 (1:0),3
13,Premier League 2010/2011,11/09/2010,A,West Ham United,3:1 (2:0),3
14,Premier League 2010/2011,19/09/2010,H,Blackpool FC,4:0 (4:0),3
15,Premier League 2010/2011,25/09/2010,A,Manchester City,0:1 (0:0),0
16,Premier League 2010/2011,03/10/2010,H,Arsenal FC,2:0 (1:0),3
17,Premier League 2010/2011,16/10/2010,A,Aston Villa,0:0 (0:0),1
18,Premier League 2010/2011,23/10/2010,H,Wolverhampton Wanderers,2:0 (1:0),3
19,Premier League 2010/2011,30/10/2010,A,Blackburn Rovers,2:1 (1:1),3
20,Premier League 2010/2011,07/11/2010,A,Liverpool FC,0:2 (0:2),0
21,Premier League 2010/2011,10/11/2010,H,Fulham FC,1:0 (1:0),3
22,Premier League 2010/2011,14/11/2010,H,Sunderland AFC,0:3 (0:1),0
23,Premier League 2010/2011,20/11/2010,A,Birmingham City,0:1 (0:1),0
24,Premier League 2010/2011,28/11/2010,A,Newcastle United,1:1 (1:1),1
25,Premier League 2010/2011,04/12/2010,H,Everton FC,1:1 (1:0),1
26,Premier League 2010/2011,12/12/2010,A,Tottenham Hotspur,1:1 (0:1),1
27,Premier League 2010/2011,27/12/2010,A,Arsenal FC,1:3 (0:1),0
28,Premier League 2010/2011,29/12/2010,H,Bolton Wanderers,1:0 (0:0),3
29,Premier League 2010/2011,02/01/2011,H,Aston Villa,3:3 (1:1),1
30,Premier League 2010/2011,05/01/2011,A,Wolverhampton Wanderers,0:1 (0:1),0
31,Premier League 2010/2011,15/01/2011,H,Blackburn Rovers,2:0 (0:0),3
32,Premier League 2010/2011,24/01/2011,A,Bolton Wanderers,4:0 (2:0),3
33,Premier League 2010/2011,01/02/2011,A,Sunderland AFC,4:2 (2:2),3
34,Premier League 2010/2011,06/02/2011,H,Liverpool FC,0:1 (0:0),0
35,Premier League 2010/2011,14/02/2011,A,Fulham FC,0:0 (0:0),1
36,Premier League 2010/2011,01/03/2011,H,Manchester United,2:1 (0:1),3
37,Premier League 2010/2011,07/03/2011,A,Blackpool FC,3:1 (1:0),3
38,Premier League 2010/2011,20/03/2011,H,Manchester City,2:0 (0:0),3
39,Premier League 2010/2011,02/04/2011,A,Stoke City,1:1 (1:1),1
40,Premier League 2010/2011,09/04/2011,H,Wigan Athletic,1:0 (0:0),3
41,Premier League 2010/2011,16/04/2011,A,West Bromwich Albion,3:1 (3:1),3
42,Premier League 2010/2011,20/04/2011,H,Birmingham City,3:1 (2:0),3
43,Premier League 2010/2011,23/04/2011,H,West Ham United,3:0 (1:0),3
44,Premier League 2010/2011,30/04/2011,H,Tottenham Hotspur,2:1 (1:1),3
45,Premier League 2010/2011,08/05/2011,A,Manchester United,1:2 (0:2),0
46,Premier League 2010/2011,15/05/2011,H,Newcastle United,2:2 (1:1),1
47,Premier League 2010/2011,22/05/2011,A,Everton FC,0:1 (0:0),0
48,FA Cup 2010/2011,09/01/2011,H,Ipswich Town,7:0 (3:0),3
49,FA Cup 2010/2011,29/01/2011,A,Everton FC,1:1 (0:0),1
50,FA Cup 2010/2011,19/02/2011,H,Everton FC,"3:4 (0:0, 0:0, 1:1) pso",0
51,League Cup 2010/2011,22/09/2010,H,Newcastle United,3:4 (1:2),0
52,FA Community Shield 2010,08/08/2010,N,Manchester United,1:3 (0:1),0
