,match_type,date,home,away,score,points
0,Europa League 2003/2004,24/09/2003,A,Olimpija Ljubljana,1:1 (0:0),1
1,Europa League 2003/2004,15/10/2003,H,Olimpija Ljubljana,3:0 (2:0),3
2,Europa League 2003/2004,06/11/2003,A,Steaua Bucureşti,1:1 (1:0),1
3,Europa League 2003/2004,27/11/2003,H,Steaua Bucureşti,1:0 (0:0),3
4,Europa League 2003/2004,26/02/2004,H,Levski Sofia,2:0 (0:0),3
5,Europa League 2003/2004,03/03/2004,A,Levski Sofia,4:2 (3:2),3
6,Europa League 2003/2004,11/03/2004,H,Olympique Marseille,1:1 (0:0),1
7,Europa League 2003/2004,25/03/2004,A,Olympique Marseille,1:2 (1:1),0
8,Premier League 2003/2004,17/08/2003,H,Chelsea FC,1:2 (0:1),0
9,Premier League 2003/2004,24/08/2003,A,Aston Villa,0:0 (0:0),1
10,Premier League 2003/2004,27/08/2003,H,Tottenham Hotspur,0:0 (0:0),1
11,Premier League 2003/2004,30/08/2003,A,Everton FC,3:0 (1:0),3
12,Premier League 2003/2004,13/09/2003,A,Blackburn Rovers,3:1 (1:1),3
13,Premier League 2003/2004,20/09/2003,H,Leicester City,2:1 (1:0),3
14,Premier League 2003/2004,28/09/2003,A,Charlton Athletic,2:3 (1:2),0
15,Premier League 2003/2004,04/10/2003,H,Arsenal FC,1:2 (1:1),0
16,Premier League 2003/2004,18/10/2003,A,Portsmouth FC,0:1 (0:1),0
17,Premier League 2003/2004,25/10/2003,H,Leeds United,3:1 (1:1),3
18,Premier League 2003/2004,02/11/2003,A,Fulham FC,2:1 (1:1),3
19,Premier League 2003/2004,09/11/2003,H,Manchester United,1:2 (0:0),0
20,Premier League 2003/2004,22/11/2003,A,Middlesbrough FC,0:0 (0:0),1
21,Premier League 2003/2004,30/11/2003,H,Birmingham City,3:1 (1:1),3
22,Premier League 2003/2004,06/12/2003,A,Newcastle United,1:1 (1:0),1
23,Premier League 2003/2004,13/12/2003,H,Southampton FC,1:2 (0:1),0
24,Premier League 2003/2004,26/12/2003,H,Bolton Wanderers,3:1 (1:0),3
25,Premier League 2003/2004,28/12/2003,A,Manchester City,2:2 (0:1),1
26,Premier League 2003/2004,07/01/2004,A,Chelsea FC,1:0 (1:0),3
27,Premier League 2003/2004,10/01/2004,H,Aston Villa,1:0 (1:0),3
28,Premier League 2003/2004,17/01/2004,A,Tottenham Hotspur,1:2 (0:1),0
29,Premier League 2003/2004,21/01/2004,A,Wolverhampton Wanderers,1:1 (1:0),1
30,Premier League 2003/2004,31/01/2004,H,Everton FC,0:0 (0:0),1
31,Premier League 2003/2004,07/02/2004,A,Bolton Wanderers,2:2 (0:1),1
32,Premier League 2003/2004,11/02/2004,H,Manchester City,2:1 (1:0),3
33,Premier League 2003/2004,29/02/2004,A,Leeds United,2:2 (2:2),1
34,Premier League 2003/2004,14/03/2004,A,Southampton FC,0:2 (0:0),0
35,Premier League 2003/2004,17/03/2004,H,Portsmouth FC,3:0 (2:0),3
36,Premier League 2003/2004,20/03/2004,H,Wolverhampton Wanderers,1:0 (0:0),3
37,Premier League 2003/2004,28/03/2004,A,Leicester City,0:0 (0:0),1
38,Premier League 2003/2004,04/04/2004,H,Blackburn Rovers,4:0 (3:0),3
39,Premier League 2003/2004,09/04/2004,A,Arsenal FC,2:4 (2:1),0
40,Premier League 2003/2004,12/04/2004,H,Charlton Athletic,0:1 (0:0),0
41,Premier League 2003/2004,17/04/2004,H,Fulham FC,0:0 (0:0),1
42,Premier League 2003/2004,24/04/2004,A,Manchester United,1:0 (0:0),3
43,Premier League 2003/2004,02/05/2004,H,Middlesbrough FC,2:0 (0:0),3
44,Premier League 2003/2004,08/05/2004,A,Birmingham City,3:0 (1:0),3
45,Premier League 2003/2004,15/05/2004,H,Newcastle United,1:1 (0:1),1
46,FA Cup 2003/2004,03/01/2004,A,Yeovil Town,2:0 (0:0),3
47,FA Cup 2003/2004,24/01/2004,H,Newcastle United,2:1 (1:1),3
48,FA Cup 2003/2004,15/02/2004,H,Portsmouth FC,1:1 (1:0),1
49,FA Cup 2003/2004,22/02/2004,A,Portsmouth FC,0:1 (0:0),0
50,League Cup 2003/2004,29/10/2003,A,Blackburn Rovers,4:3 (1:1),3
51,League Cup 2003/2004,03/12/2003,H,Bolton Wanderers,2:3 (0:1),0
