,match_type,date,home,away,score,points
0,Championship 1999/2000,06/08/1999,H,Wolverhampton Wanderers,0:1,0
1,Championship 1999/2000,13/08/1999,A,Fulham FC,0:0,1
2,Championship 1999/2000,20/08/1999,H,Sheffield United,6:0,3
3,Championship 1999/2000,27/08/1999,A,Bolton Wanderers,1:0,3
4,Championship 1999/2000,29/08/1999,H,Nottingham Forest,1:0,3
5,Championship 1999/2000,10/09/1999,H,Crystal Palace,2:1,3
6,Championship 1999/2000,17/09/1999,A,Walsall FC,1:0,3
7,Championship 1999/2000,25/09/1999,A,Ipswich Town,1:2,0
8,Championship 1999/2000,27/09/1999,A,Norwich City,0:1,0
9,Championship 1999/2000,02/10/1999,H,Port Vale FC,2:1,3
10,Championship 1999/2000,15/10/1999,A,Tranmere Rovers,1:1,1
11,Championship 1999/2000,18/10/1999,A,Birmingham City,1:0,3
12,Championship 1999/2000,22/10/1999,H,Blackburn Rovers,2:0,3
13,Championship 1999/2000,26/10/1999,H,Ipswich Town,1:0,3
14,Championship 1999/2000,29/10/1999,A,Port Vale FC,2:1,3
15,Championship 1999/2000,02/11/1999,H,Portsmouth FC,4:2,3
16,Championship 1999/2000,05/11/1999,A,Queens Park Rangers,1:1,1
17,Championship 1999/2000,19/11/1999,A,Charlton Athletic,1:0,3
18,Championship 1999/2000,23/11/1999,H,Barnsley FC,3:1,3
19,Championship 1999/2000,26/11/1999,H,Huddersfield Town,0:1,0
20,Championship 1999/2000,02/12/1999,A,Wolverhampton Wanderers,1:4,0
21,Championship 1999/2000,07/12/1999,H,Stockport County,1:2,0
22,Championship 1999/2000,17/12/1999,H,Swindon Town,3:0,3
23,Championship 1999/2000,25/12/1999,A,West Bromwich Albion,2:0,3
24,Championship 1999/2000,27/12/1999,H,Grimsby Town,2:1,3
25,Championship 1999/2000,02/01/2000,A,Crewe Alexandra,1:1,1
26,Championship 1999/2000,15/01/2000,H,Fulham FC,4:0,3
27,Championship 1999/2000,21/01/2000,A,Sheffield United,0:1,0
28,Championship 1999/2000,04/02/2000,A,Nottingham Forest,3:1,3
29,Championship 1999/2000,11/02/2000,H,Norwich City,3:1,3
30,Championship 1999/2000,17/02/2000,A,Huddersfield Town,1:1,1
31,Championship 1999/2000,25/02/2000,H,Walsall FC,1:1,1
32,Championship 1999/2000,03/03/2000,A,Crystal Palace,1:1,1
33,Championship 1999/2000,07/03/2000,H,Queens Park Rangers,1:3,0
34,Championship 1999/2000,11/03/2000,A,Barnsley FC,1:2,0
35,Championship 1999/2000,19/03/2000,H,Charlton Athletic,1:1 (1:1),1
36,Championship 1999/2000,21/03/2000,A,Stockport County,2:2 (1:2),1
37,Championship 1999/2000,25/03/2000,H,West Bromwich Albion,2:1 (0:0),3
38,Championship 1999/2000,01/04/2000,A,Swindon Town,2:0 (1:0),3
39,Championship 1999/2000,05/04/2000,H,Bolton Wanderers,2:0,3
40,Championship 1999/2000,08/04/2000,H,Crewe Alexandra,4:0 (1:0),3
41,Championship 1999/2000,15/04/2000,A,Grimsby Town,1:1 (1:1),1
42,Championship 1999/2000,22/04/2000,H,Tranmere Rovers,2:0 (1:0),3
43,Championship 1999/2000,24/04/2000,A,Portsmouth FC,2:2 (2:1),1
44,Championship 1999/2000,28/04/2000,H,Birmingham City,1:0 (1:0),3
45,Championship 1999/2000,07/05/2000,A,Blackburn Rovers,4:1 (0:1),3
46,FA Cup 1999/2000,11/12/1999,A,Chester City,4:1 (1:1),3
47,FA Cup 1999/2000,08/01/2000,H,Leeds United,2:5 (2:3),0
48,League Cup 1999/2000,10/08/1999,H,Burnley FC,5:0 (1:0),3
49,League Cup 1999/2000,23/08/1999,A,Burnley FC,1:0 (0:0),3
50,League Cup 1999/2000,14/09/1999,H,Southampton FC,0:0 (0:0),1
51,League Cup 1999/2000,20/09/1999,A,Southampton FC,"3:4 (1:2, 3:3) aet",0
