,match_type,date,home,away,score,points
0,Champions League 2003/2004,16/09/2003,H,Panathinaikos,5:0 (4:0),3
1,Champions League 2003/2004,01/10/2003,A,VfB Stuttgart,1:2 (0:0),0
2,Champions League 2003/2004,22/10/2003,A,Rangers FC,1:0 (1:0),3
3,Champions League 2003/2004,04/11/2003,H,Rangers FC,3:0 (2:0),3
4,Champions League 2003/2004,26/11/2003,A,Panathinaikos,1:0 (0:0),3
5,Champions League 2003/2004,09/12/2003,H,VfB Stuttgart,2:0 (1:0),3
6,Champions League 2003/2004,25/02/2004,A,FC Porto,1:2 (1:1),0
7,Champions League 2003/2004,09/03/2004,H,FC Porto,1:1 (1:0),1
8,Premier League 2003/2004,16/08/2003,H,Bolton Wanderers,4:0 (1:0),3
9,Premier League 2003/2004,23/08/2003,A,Newcastle United,2:1 (0:1),3
10,Premier League 2003/2004,27/08/2003,H,Wolverhampton Wanderers,1:0 (1:0),3
11,Premier League 2003/2004,31/08/2003,A,Southampton FC,0:1 (0:0),0
12,Premier League 2003/2004,13/09/2003,A,Charlton Athletic,2:0 (0:0),3
13,Premier League 2003/2004,21/09/2003,H,Arsenal FC,0:0 (0:0),1
14,Premier League 2003/2004,27/09/2003,A,Leicester City,4:1 (3:0),3
15,Premier League 2003/2004,04/10/2003,H,Birmingham City,3:0 (1:0),3
16,Premier League 2003/2004,18/10/2003,A,Leeds United,1:0 (0:0),3
17,Premier League 2003/2004,25/10/2003,H,Fulham FC,1:3 (1:1),0
18,Premier League 2003/2004,01/11/2003,H,Portsmouth FC,3:0 (1:0),3
19,Premier League 2003/2004,09/11/2003,A,Liverpool FC,2:1 (0:0),3
20,Premier League 2003/2004,22/11/2003,H,Blackburn Rovers,2:1 (2:0),3
21,Premier League 2003/2004,30/11/2003,A,Chelsea FC,0:1 (0:1),0
22,Premier League 2003/2004,06/12/2003,H,Aston Villa,4:0 (2:0),3
23,Premier League 2003/2004,13/12/2003,H,Manchester City,3:1 (2:0),3
24,Premier League 2003/2004,21/12/2003,A,Tottenham Hotspur,2:1 (2:0),3
25,Premier League 2003/2004,26/12/2003,H,Everton FC,3:2 (2:1),3
26,Premier League 2003/2004,28/12/2003,A,Middlesbrough FC,1:0 (1:0),3
27,Premier League 2003/2004,07/01/2004,A,Bolton Wanderers,2:1 (2:0),3
28,Premier League 2003/2004,11/01/2004,H,Newcastle United,0:0 (0:0),1
29,Premier League 2003/2004,17/01/2004,A,Wolverhampton Wanderers,0:1 (0:0),0
30,Premier League 2003/2004,31/01/2004,H,Southampton FC,3:2 (2:1),3
31,Premier League 2003/2004,07/02/2004,A,Everton FC,4:3 (3:0),3
32,Premier League 2003/2004,11/02/2004,H,Middlesbrough FC,2:3 (1:2),0
33,Premier League 2003/2004,21/02/2004,H,Leeds United,1:1 (0:0),1
34,Premier League 2003/2004,28/02/2004,A,Fulham FC,1:1 (1:0),1
35,Premier League 2003/2004,14/03/2004,A,Manchester City,1:4 (1:2),0
36,Premier League 2003/2004,20/03/2004,H,Tottenham Hotspur,3:0 (1:0),3
37,Premier League 2003/2004,28/03/2004,A,Arsenal FC,1:1 (0:0),1
38,Premier League 2003/2004,10/04/2004,A,Birmingham City,2:1 (0:1),3
39,Premier League 2003/2004,13/04/2004,H,Leicester City,1:0 (0:0),3
40,Premier League 2003/2004,17/04/2004,A,Portsmouth FC,0:1 (0:1),0
41,Premier League 2003/2004,20/04/2004,H,Charlton Athletic,2:0 (1:0),3
42,Premier League 2003/2004,24/04/2004,H,Liverpool FC,0:1 (0:0),0
43,Premier League 2003/2004,01/05/2004,A,Blackburn Rovers,0:1 (0:0),0
44,Premier League 2003/2004,08/05/2004,H,Chelsea FC,1:1 (0:1),1
45,Premier League 2003/2004,15/05/2004,A,Aston Villa,2:0 (2:0),3
46,FA Cup 2003/2004,03/01/2004,A,Aston Villa,2:1 (0:1),3
47,FA Cup 2003/2004,25/01/2004,A,Northampton Town,3:0 (1:0),3
48,FA Cup 2003/2004,14/02/2004,H,Manchester City,4:2 (1:0),3
49,FA Cup 2003/2004,06/03/2004,H,Fulham FC,2:1 (1:1),3
50,FA Cup 2003/2004,03/04/2004,A,Arsenal FC,1:0 (1:0),3
51,FA Cup 2003/2004,22/05/2004,N,Millwall FC,3:0 (1:0),3
52,League Cup 2003/2004,28/10/2003,A,Leeds United,"3:2 (0:0, 1:1) aet",3
53,League Cup 2003/2004,03/12/2003,A,West Bromwich Albion,0:2 (0:1),0
54,FA Community Shield 2003,10/08/2003,N,Arsenal FC,"4:3 (1:1, 1:1, 1:1) pso",3
